                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.46141,                0.35253,                0.90462,                0.73977,                0.70116,                0.71344,                  0.534,                0.86857,                 1.1099,                 1.1172,               0.000225,               0.000225,               0.000225
                     52,                0.46251,                0.35092,                0.90245,                 0.7911,                0.70871,                0.74178,                0.54984,                 0.8646,                 1.0178,                 1.1124,              0.0002195,              0.0002195,              0.0002195
                     53,                0.46956,                0.35313,                0.90834,                0.78209,                0.68757,                0.73286,                0.54974,                0.87108,                 1.0385,                 1.1082,               0.000214,               0.000214,               0.000214
                     54,                0.46689,                0.35291,                0.90647,                0.72444,                0.72054,                0.72785,                0.53997,                0.87228,                 1.0465,                 1.1145,              0.0002085,              0.0002085,              0.0002085
                     55,                0.45452,                0.34506,                0.90216,                0.76384,                0.71343,                0.73106,                0.54449,                0.87541,                 1.0646,                 1.1157,               0.000203,               0.000203,               0.000203
                     56,                 0.4483,                0.34165,                0.89799,                0.73051,                0.71076,                0.73095,                0.54487,                0.87274,                  1.061,                 1.1131,              0.0001975,              0.0001975,              0.0001975
                     57,                0.44798,                0.33842,                  0.901,                 0.7606,                0.72459,                0.74634,                0.55554,                0.85782,                 1.0135,                 1.1128,               0.000192,               0.000192,               0.000192
                     58,                0.45011,                0.34131,                0.89666,                0.74471,                0.69455,                 0.7271,                0.54408,                0.86456,                 1.0399,                 1.1132,              0.0001865,              0.0001865,              0.0001865
                     59,                0.44268,                0.33337,                0.89825,                 0.7865,                0.66775,                0.72132,                 0.5436,                0.85426,                 1.0652,                 1.1091,               0.000181,               0.000181,               0.000181
                     60,                0.44385,                 0.3323,                0.89768,                0.79349,                0.67065,                0.73154,                0.54408,                0.86868,                 1.0593,                 1.1142,              0.0001755,              0.0001755,              0.0001755
                     61,                0.43195,                0.32208,                0.89269,                0.76345,                0.72074,                 0.7361,                0.54677,                0.86226,                 1.0623,                 1.1147,                0.00017,                0.00017,                0.00017
                     62,                0.43918,                0.32945,                0.89614,                0.72436,                0.69801,                0.73298,                0.55035,                0.87423,                 1.0998,                 1.1239,              0.0001645,              0.0001645,              0.0001645
                     63,                0.43313,                0.32318,                0.89518,                0.72314,                0.70845,                0.71859,                0.53608,                0.86882,                 1.0765,                 1.1216,               0.000159,               0.000159,               0.000159
                     64,                0.43117,                0.31883,                0.89221,                0.79794,                0.66968,                0.72681,                 0.5438,                0.86164,                 1.0865,                 1.1101,              0.0001535,              0.0001535,              0.0001535
                     65,                0.42731,                0.31984,                0.89072,                 0.7377,                0.72986,                0.73877,                 0.5502,                 0.8729,                 1.0673,                 1.1193,               0.000148,               0.000148,               0.000148
                     66,                0.42794,                0.31872,                0.89212,                0.79991,                0.66801,                0.73256,                0.54865,                0.86575,                 1.0565,                  1.118,              0.0001425,              0.0001425,              0.0001425
                     67,                0.42687,                0.31826,                0.89554,                0.78592,                0.70541,                0.73284,                0.54627,                0.87023,                 1.0601,                 1.1202,               0.000137,               0.000137,               0.000137
                     68,                0.42368,                 0.3131,                0.89095,                0.79079,                0.67719,                0.73044,                0.54854,                 0.8606,                 1.0575,                 1.1129,              0.0001315,              0.0001315,              0.0001315
                     69,                0.40963,                0.30789,                0.88679,                0.78452,                 0.6721,                0.72135,                0.53697,                0.85787,                 1.1089,                 1.1109,               0.000126,               0.000126,               0.000126
